source,target,weight
三林东,三林,1365.551465
三林,东方体育中心,3979.167252
东方体育中心,龙耀路,2530.915183
龙耀路,云锦路,924.810988
云锦路,龙华,1179.673852
龙华,上海游泳馆,1598.589174
上海游泳馆,徐家汇,2094.769879
徐家汇,交通大学,1074.805114
交通大学,江苏路,2457.992665
江苏路,隆德路,1569.017952
隆德路,曹杨路,1149.002009
曹杨路,枫桥路,942.0378756
枫桥路,真如,1240.676141
真如,上海西站,1836.651574
上海西站,李子园,1568.992793
李子园,祁连山路,1606.897675
祁连山路,武威路,1470.776665
武威路,桃浦新村,1937.855019
桃浦新村,南翔,3663.906514
南翔,陈翔公路,2291.057501
陈翔公路,马陆,4441.378667
马陆,嘉定新城,3397.739032
嘉定新城,上海赛车场,3643.053085
上海赛车场,昌吉东路,6132.257296
昌吉东路,上海汽车城,2628.636595
上海汽车城,安亭,2152.768335
安亭,兆丰路,1327.35154
兆丰路,光明路,3815.579107
光明路,花桥,1511.958758
花桥,光明路,1511.958758
光明路,兆丰路,3815.579107
兆丰路,安亭,1327.35154
安亭,上海汽车城,2152.768335
上海汽车城,昌吉东路,2628.636595
昌吉东路,上海赛车场,6132.257296
上海赛车场,嘉定新城,3643.053085
嘉定新城,马陆,3397.739032
马陆,陈翔公路,4441.378667
陈翔公路,南翔,2291.057501
南翔,桃浦新村,3663.906514
桃浦新村,武威路,1937.855019
武威路,祁连山路,1470.776665
祁连山路,李子园,1606.897675
李子园,上海西站,1568.992059
上海西站,真如,1836.651574
真如,枫桥路,1240.676141
枫桥路,曹杨路,942.0378756
曹杨路,隆德路,1149.002009
隆德路,江苏路,1569.017952
江苏路,交通大学,2457.992665
交通大学,徐家汇,1074.805114
徐家汇,上海游泳馆,2094.769879
上海游泳馆,龙华,1598.589174
龙华,云锦路,1179.673852
云锦路,龙耀路,924.810988
龙耀路,东方体育中心,2530.915183
东方体育中心,三林,3979.167252
三林,三林东,1365.551465
三林东,浦三路,1878.169948
浦三路,御桥,3649.858603
御桥,罗山路,2984.354062
罗山路,秀沿路,2110.962428
秀沿路,康新公路,2668.35767
康新公路,迪士尼,5903.927411
七莘路,虹莘路,2146.899981
虹莘路,顾戴路,1443.092748
顾戴路,东兰路,2141.141318
东兰路,虹梅路,1003.070633
虹梅路,虹漕路,1553.904973
虹漕路,桂林公园,1109.797427
桂林公园,漕宝路,1512.208547
漕宝路,龙漕路,1185.15792
龙漕路,龙华,1266.585151
龙华,龙华中路,1505.171048
龙华中路,大木桥路,1804.073723
大木桥路,嘉善路,1171.411292
嘉善路,陕西南路,1836.508017
陕西南路,南京西路,1620.013018
南京西路,汉中路,1799.36936
汉中路,曲阜路,1458.25761
曲阜路,天潼路,1193.50895
天潼路,国际客运中心,1971.982254
国际客运中心,提篮桥,1035.964349
提篮桥,大连路,939.1583076
